comment_id,post_id,sentiment,sentiment_score
c_158764097920177646,ao5BbNX,positive,1
c_158764284459024843,ao5BbNX,neutral,0
c_158764300987387709,ao5BbNX,negative,-1
c_158764336724094640,ao5BbNX,neutral,0
c_158764337708565903,ao5BbNX,neutral,0
c_158764347859207161,ao5BbNX,neutral,0
c_158764349059011233,ao5BbNX,neutral,0
c_158764349824827986,ao5BbNX,neutral,0
c_158764358468185549,ao5BbNX,negative,-1
c_158764362804277648,ao5BbNX,neutral,0
c_158764378997855640,ao5BbNX,neutral,0
c_158764385944601303,ao5BbNX,neutral,0
c_158764388309261044,ao5BbNX,neutral,0
c_158764433189646261,ao5BbNX,neutral,0
c_158764435295587784,ao5BbNX,positive,1
c_158764497246542224,ao5BbNX,neutral,0
c_158764526341441334,ao5BbNX,neutral,0
c_158764528719827530,ao5BbNX,neutral,0
c_158764626877044619,ao5BbNX,negative,-1
c_158764632843585846,ao5BbNX,neutral,0
c_158764775594156310,ao5BbNX,neutral,0
c_158764874743642409,ao5BbNX,neutral,0
c_158764899477118545,a0RmAKX,neutral,0
c_158764909721973740,ao5BbNX,negative,-1
c_158764942028895526,ao5BbNX,neutral,0
c_158765009261487346,ao5BbNX,neutral,0
c_158765013731032069,a0RmAKX,neutral,0
c_158765036879649198,ao5BrKX,neutral,0
c_158765057977989446,a0RmAKX,neutral,0
c_158765059608913452,a85rP0p,negative,-1
c_158765063670569590,a0RmAKX,negative,-1
c_158765068853862916,a85rP0p,neutral,0
c_158765072511643256,a0RmAKX,neutral,0
c_158765077055002188,ao5BrKX,negative,-1
c_158765083031127289,ayoyg4V,neutral,0
c_158765092555241259,a0RmAKX,negative,-1
c_158765097697861525,a0RmAKX,neutral,0
c_158765111833359826,a85rP0p,positive,1
c_158765125433359806,a0RmAKX,neutral,0
c_158765142192085507,aroP6B5,negative,-1
c_158765144130979166,ayoyg4V,positive,1
c_158765159350184310,a85rP0p,positive,1
c_158765159407356653,a0RmAKX,neutral,0
c_158765162329813934,aroP6B5,positive,1
c_158765163651784085,a0RmAKX,positive,1
c_158765171010055448,a0RmAKX,neutral,0
c_158765177201517426,a0RmAKX,positive,1
c_158765201689714517,ao5BbNX,neutral,0
c_158765204460687483,a0RmAKX,positive,1
c_158765219112689825,ao5BbNX,positive,1
c_158765219316134261,a0RmAKX,negative,-1
c_158765230882348243,ao5BrKX,negative,-1
c_158765251542834254,a0RmAKX,negative,-1
c_158765252583686420,a0RmAKX,positive,1
c_158765256832496673,a0RmAKX,negative,-1
c_158765260297039926,ayoyg4V,neutral,0
c_158765276499221773,a0RmAKX,negative,-1
c_158765294098853612,ao5BbNX,neutral,0
c_158765297755183160,ayoyg4V,negative,-1
c_158765301485176090,a0RmAKX,neutral,0
c_158765320544827972,a0RmAKX,neutral,0
c_158765321218415619,am5DjQj,negative,-1
c_158765323903194052,ayoyg4V,neutral,0
c_158765325745897135,ayoyg4V,positive,1
c_158765333387163780,am5DjQj,neutral,0
c_158765333849058781,ao5BbNX,neutral,0
c_158765339623686918,ao5BrKX,negative,-1
c_158765340980089983,aroP6B5,positive,1
c_158765349606949642,a0RmAKX,neutral,0
c_158765357468984940,ao5BrKX,negative,-1
c_158765366915106027,ao5BrKX,positive,1
c_158765371018525973,am5DjQj,negative,-1
c_158765386742361306,ayoyg4V,negative,-1
c_158765386880158092,aroP6B5,negative,-1
c_158765394106684771,ao5BrKX,negative,-1
c_158765399348196327,aroP6B5,neutral,0
c_158765410555406642,aroP6B5,negative,-1
c_158765415342417939,ao5BrKX,neutral,0
c_158765416324465397,ayoyg4V,neutral,0
c_158765420093591672,aroP6B5,positive,1
c_158765435332608328,ayoyg4V,neutral,0
c_158765439215574632,aroP6B5,negative,-1
c_158765441888534588,ao5BrKX,negative,-1
c_158765442466001184,aroP6B5,neutral,0
c_158765442740003476,ayoyg4V,neutral,0
c_158765443529565750,aroP6B5,neutral,0
c_158765443915401034,aroP6B5,negative,-1
c_158765445169256890,aroP6B5,neutral,0
c_158765447315813620,ao5BrKX,neutral,0
c_158765448593107170,aroP6B5,positive,1
c_158765458118072793,a85rP0p,negative,-1
c_158765458362164362,aroP6B5,negative,-1
c_158765462247309626,aroP6B5,neutral,0
c_158765463904743092,aroP6B5,neutral,0
c_158765465399606936,ao5BrKX,positive,1
c_158765467592845624,ayoyg4V,neutral,0
c_158765470876211880,a1R4z4D,neutral,0
c_158765470911817185,a0RmAKX,negative,-1
c_158765472573775913,ayoyg4V,neutral,0
c_158765475411206762,a85rP0p,neutral,0
c_158765485842096382,a1R4z4D,neutral,0
c_158765487168535519,aroP6B5,negative,-1
c_158765493176641492,a1R4z4D,negative,-1
c_158765493197444505,ao5BrKX,positive,1
c_158765501506326037,a85rP0p,negative,-1
c_158765503141733449,aroP6B5,positive,1
c_158765503156654123,ao5BrKX,negative,-1
c_158765518383887340,aroP6B5,positive,1
c_158765522296855124,aroP6B5,negative,-1
c_158765534246385625,ao5BrKX,positive,1
c_158765538473048964,ao5BbNX,neutral,0
c_158765539096677371,ao5BrKX,positive,1
c_158765541625313002,a1R4z4D,positive,1
c_158765543630374879,aV0GGOP,positive,1
c_158765546208676559,ae5XovO,neutral,0
c_158765549285135064,aroP6B5,negative,-1
c_158765550581311768,ao5BrKX,negative,-1
c_158765552266402697,aroP6B5,negative,-1
c_158765553728834310,ao5BbNX,negative,-1
c_158765557798605979,aV0GGOP,negative,-1
c_158765561056081424,ao5BrKX,neutral,0
c_158765563419899629,ayoyg4V,neutral,0
c_158765567085832140,a1R4z4D,neutral,0
c_158765575029757414,ae5XovO,neutral,0
c_158765588919227517,ayoyg4V,positive,1
c_158765590346744023,ayoyg4V,neutral,0
c_158765595672615014,aroP6B5,negative,-1
c_158765598816868528,ayoyg4V,neutral,0
c_158765604247453896,aV0GGOP,positive,1
c_158765605836059542,aroP6B5,neutral,0
c_158765607901584156,aroP6B5,negative,-1
c_158765609317114365,aroPPN5,positive,1
c_158765612698372857,aV0GGOP,negative,-1
c_158765613889275798,a85rP0p,neutral,0
c_158765615128853624,aroP6B5,neutral,0
c_158765618051359936,aV0GGOP,neutral,0
c_158765618475648004,a0RmmjZ,positive,1
c_158765621592293033,aroP6B5,negative,-1
c_158765627092479941,a85rP0p,positive,1
c_158765633927178949,a0RmmjZ,neutral,0
c_158765648145558577,am5DjQj,neutral,0
c_158765659018872329,aroPPN5,negative,-1
c_158765661720311288,a85rP0p,neutral,0
c_158765662630335687,a0RmAKX,neutral,0
c_158765665149812037,aroP6B5,positive,1
c_158765668984381958,aV0GGOP,negative,-1
c_158765671259633580,aV0GGOP,neutral,0
c_158765671645684411,aroP6B5,positive,1
c_158765673800742904,aV0GGOP,neutral,0
c_158765674507739434,a2RQQdD,neutral,0
c_158765678231226168,ayoyg4V,neutral,0
c_158765679414535153,am5DjQj,positive,1
c_158765679476753324,ayoyg4V,neutral,0
c_158765679705939453,aV0GGOP,positive,1
c_158765680141813981,am5DjQj,neutral,0
c_158765683272382965,a0RmmjZ,neutral,0
c_158765683452078083,am5DjQj,neutral,0
c_158765683665965012,a2RQQdD,neutral,0
c_158765685314795886,aV0GGOP,positive,1
c_158765685545019734,a2RQQdD,positive,1
c_158765685874112672,a2RQQdD,neutral,0
c_158765687018413273,aroP6B5,neutral,0
c_158765689980763989,a2RQQdD,positive,1
c_158765692465269742,aroP6B5,negative,-1
c_158765693059787991,aroPPN5,neutral,0
c_158765700125946263,aroP6B5,negative,-1
c_158765700822488487,a2RQQdD,neutral,0
c_158765701024362403,aroP6B5,neutral,0
c_158765703963007884,aroP6B5,positive,1
c_158765708678276548,aroP6B5,positive,1
c_158765709420918585,aV0GGOP,neutral,0
c_158765710375028925,ayoyg4V,neutral,0
c_158765717928477165,ae5XovO,negative,-1
c_158765719600446320,a1R4z4D,positive,1
c_158765727594106994,aV0GGOP,positive,1
c_158765730687799065,a1R4z4D,negative,-1
c_158765738284492056,a2RQQdD,negative,-1
c_158765741097596098,aroP6B5,positive,1
c_158765741295085624,a85rP0p,negative,-1
c_158765741340467453,aV0GGOP,positive,1
c_158765747813991672,aroP6B5,neutral,0
c_158765750695479075,aV0GGOP,neutral,0
c_158765751978151348,aroP6B5,negative,-1
c_158765752512091956,ae5XovO,neutral,0
c_158765755364179073,aroP6B5,negative,-1
c_158765756753054054,ao5BrKX,neutral,0
c_158765768178103812,aV0GGOP,positive,1
c_158765772631108789,aV0GGOP,neutral,0
c_158765775728202767,am5DjQj,negative,-1
c_158765775753061143,ae5XovO,neutral,0
c_158765779472381509,aV0GGOP,neutral,0
c_158765780467521921,ae5XovO,neutral,0
c_158765786105415363,a85rP0p,positive,1
c_158765794412558654,ao5BbNX,negative,-1
c_158765799992905379,ao5BrKX,neutral,0
c_158765802015518534,am5DjQj,positive,1
c_158765803563164069,am5DjQj,neutral,0
c_158765805631813849,aV0GGOP,negative,-1
c_158765812563291166,ae5XovO,negative,-1
c_158765813469618263,ae5XovO,neutral,0
c_158765817549901889,aV0GGOP,positive,1
c_158765825860451038,aroP6B5,neutral,0
c_158765826726076057,aV0GGOP,negative,-1
c_158765830972688934,aroP6B5,positive,1
c_158765831723828377,ayoyg4V,positive,1
c_158765832432726634,a85rP0p,negative,-1
c_158765837865461011,am5DjQj,neutral,0
c_158765845309483465,ao5BrKX,negative,-1
c_158765852372446198,am5DjQj,neutral,0
c_158765853061287116,ao5BrKX,negative,-1
c_158765853768226928,ao5BrKX,positive,1
c_158765858001213940,aroP6B5,negative,-1
c_158765859868339472,a85rP0p,neutral,0
c_158765862862052154,am5DjQj,neutral,0
c_158765872581259516,ao5BrKX,negative,-1
c_158765882670577583,ao5BbNX,positive,1
c_158765888938124093,aroP6B5,negative,-1
c_158765892058207046,ae5XovO,neutral,0
c_158765892408972678,a0RmmjZ,positive,1
c_158765896677161761,am5DjQj,neutral,0
c_158765897497074832,ae5XovO,neutral,0
c_158765901405476159,aroPPN5,negative,-1
c_158765906006656194,aroPPN5,neutral,0
c_158765907494846088,ao5BrKX,neutral,0
c_158765908602114592,aroP6B5,positive,1
c_158765909890319922,a85rP0p,neutral,0
c_158765910225136286,am5DjQj,positive,1
c_158765919837299969,ayoyg4V,neutral,0
c_158765923527534737,aroP6B5,positive,1
c_158765923587963363,ao5BrKX,neutral,0
c_158765935007936807,ayoyg4V,negative,-1
c_158765935767268907,aroPPN5,neutral,0
c_158765940542203022,ae5XXZq,positive,1
c_158765942433155928,aroP6B5,negative,-1
c_158765944776019536,ae5XXZq,negative,-1
c_158765950896225440,ae5XovO,neutral,0
c_158765970084498435,aV0GGOP,negative,-1
c_158765972948829780,ae5XXZq,neutral,0
c_158765973928868163,ae5XXZq,negative,-1
c_158765974777572794,a2RQQdD,negative,-1
c_158765978210025406,aroPPN5,positive,1
c_158765980124023144,ae5XXZq,positive,1
c_158765984151404257,am5DjQj,positive,1
